nohup: ignoring input
loading Data :
Loading Model :
Compiling Model :
Generating Sample :
Generating Certificates :
Point  0 attaques trouvées : tensor([1.9654], device='cuda:0') tensor([1.9532], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  36 attaques trouvées : tensor([2.9543], device='cuda:0') tensor([2.9368], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  37 attaques trouvées : tensor([2.9659], device='cuda:0') tensor([2.9572], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  38 attaques trouvées : tensor([2.8792], device='cuda:0') tensor([2.8741], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  39 attaques trouvées : tensor([2.6241], device='cuda:0') tensor([2.6180], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  40 attaques trouvées : tensor([1.2950], device='cuda:0') tensor([1.2839], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  41 attaques trouvées : tensor([1.6373], device='cuda:0') tensor([1.6116], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  42 attaques trouvées : tensor([2.1226], device='cuda:0') tensor([2.1263], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  43 attaques trouvées : tensor([1.9557], device='cuda:0') tensor([1.9469], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  44 attaques trouvées : tensor([2.2260], device='cuda:0') tensor([2.2282], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  45 attaques trouvées : tensor([3.0859], device='cuda:0') tensor([3.0753], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  46 attaques trouvées : tensor([2.4260], device='cuda:0') tensor([2.4265], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  47 attaques trouvées : tensor([4.1567], device='cuda:0') tensor([4.1280], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  48 attaques trouvées : tensor([2.1188], device='cuda:0') tensor([2.1150], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  49 attaques trouvées : tensor([0.9955], device='cuda:0') tensor([0.9739], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  50 attaques trouvées : tensor([2.2884], device='cuda:0') tensor([2.2882], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  51 attaques trouvées : tensor([2.5276], device='cuda:0') tensor([2.5311], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  52 attaques trouvées : tensor([2.3606], device='cuda:0') tensor([2.3703], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  53 attaques trouvées : tensor([1.7063], device='cuda:0') tensor([1.7061], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  54 attaques trouvées : tensor([2.9552], device='cuda:0') tensor([2.9509], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  55 attaques trouvées : tensor([3.1963], device='cuda:0') tensor([3.1974], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  56 attaques trouvées : tensor([2.4074], device='cuda:0') tensor([2.4064], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  57 attaques trouvées : tensor([3.4313], device='cuda:0') tensor([3.4293], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  58 attaques trouvées : tensor([2.2037], device='cuda:0') tensor([2.1987], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  59 attaques trouvées : tensor([2.6293], device='cuda:0') tensor([2.6115], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  60 attaques trouvées : tensor([2.7662], device='cuda:0') tensor([2.7648], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  61 attaques trouvées : tensor([3.1940], device='cuda:0') tensor([3.1946], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  62 attaques trouvées : tensor([3.6930], device='cuda:0') tensor([3.6950], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  63 attaques trouvées : tensor([2.5834], device='cuda:0') tensor([2.4510], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  64 attaques trouvées : tensor([3.5955], device='cuda:0') tensor([3.6012], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  65 attaques trouvées : tensor([2.6296], device='cuda:0') tensor([2.6331], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  66 attaques trouvées : tensor([1.8018], device='cuda:0') tensor([1.7959], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  67 attaques trouvées : tensor([3.5193], device='cuda:0') tensor([3.5285], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  68 attaques trouvées : tensor([3.6534], device='cuda:0') tensor([3.6444], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  69 attaques trouvées : tensor([1.6503], device='cuda:0') tensor([1.6456], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  70 attaques trouvées : tensor([3.5790], device='cuda:0') tensor([3.5857], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  71 attaques trouvées : tensor([3.1310], device='cuda:0') tensor([3.1377], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  72 attaques trouvées : tensor([0.8918], device='cuda:0') tensor([0.8697], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  73 attaques trouvées : tensor([1.1083], device='cuda:0') tensor([1.0612], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  74 attaques trouvées : tensor([2.5119], device='cuda:0') tensor([2.5112], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  75 attaques trouvées : tensor([3.1515], device='cuda:0') tensor([3.1546], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  76 attaques trouvées : tensor([2.9435], device='cuda:0') tensor([2.9453], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  77 attaques trouvées : tensor([2.6910], device='cuda:0') tensor([2.6958], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  78 attaques trouvées : tensor([3.0992], device='cuda:0') tensor([3.1000], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  79 attaques trouvées : tensor([2.6186], device='cuda:0') tensor([2.6217], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  80 attaques trouvées : tensor([3.3743], device='cuda:0') tensor([3.3661], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  81 attaques trouvées : tensor([2.7936], device='cuda:0') tensor([2.7847], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  82 attaques trouvées : tensor([1.9858], device='cuda:0') tensor([1.9609], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  83 attaques trouvées : tensor([2.2486], device='cuda:0') tensor([2.2505], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  84 attaques trouvées : tensor([2.8522], device='cuda:0') tensor([2.8420], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  85 attaques trouvées : tensor([3.3911], device='cuda:0') tensor([3.3961], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  86 attaques trouvées : tensor([3.1221], device='cuda:0') tensor([3.1126], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  87 attaques trouvées : tensor([1.3218], device='cuda:0') tensor([1.3052], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  88 attaques trouvées : tensor([3.2812], device='cuda:0') tensor([3.2836], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  89 attaques trouvées : tensor([3.0351], device='cuda:0') tensor([3.0229], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  90 attaques trouvées : tensor([2.8124], device='cuda:0') tensor([2.7944], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  91 attaques trouvées : tensor([3.3038], device='cuda:0') tensor([3.3089], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  92 attaques trouvées : tensor([1.8075], device='cuda:0') tensor([1.7992], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  93 attaques trouvées : tensor([2.1720], device='cuda:0') tensor([2.1727], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  94 attaques trouvées : tensor([2.6098], device='cuda:0') tensor([2.5943], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  95 attaques trouvées : tensor([3.2492], device='cuda:0') tensor([3.2147], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  96 attaques trouvées : tensor([2.9818], device='cuda:0') tensor([2.9888], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  97 attaques trouvées : tensor([3.8596], device='cuda:0') tensor([3.8542], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  98 attaques trouvées : tensor([2.8325], device='cuda:0') tensor([2.8400], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  99 attaques trouvées : tensor([2.2892], device='cuda:0') tensor([2.2877], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  100 attaques trouvées : tensor([3.8566], device='cuda:0') tensor([3.8421], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  101 attaques trouvées : tensor([3.2354], device='cuda:0') tensor([3.2339], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  102 attaques trouvées : tensor([2.8358], device='cuda:0') tensor([2.8414], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  103 attaques trouvées : tensor([4.8557], device='cuda:0') tensor([4.8566], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  104 attaques trouvées : tensor([2.4182], device='cuda:0') tensor([2.4160], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  105 attaques trouvées : tensor([0.7499], device='cuda:0') tensor([0.7165], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  106 attaques trouvées : tensor([3.4235], device='cuda:0') tensor([3.4254], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  107 attaques trouvées : tensor([4.5839], device='cuda:0') tensor([4.5892], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  108 attaques trouvées : tensor([2.7983], device='cuda:0') tensor([2.7871], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  109 attaques trouvées : tensor([1.9162], device='cuda:0') tensor([1.9110], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  110 attaques trouvées : tensor([1.5282], device='cuda:0') tensor([1.5208], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  111 attaques trouvées : tensor([2.2027], device='cuda:0') tensor([2.2033], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  112 attaques trouvées : tensor([1.8580], device='cuda:0') tensor([1.8500], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  113 attaques trouvées : tensor([4.2583], device='cuda:0') tensor([4.2541], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  114 attaques trouvées : tensor([3.5718], device='cuda:0') tensor([3.5631], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  115 attaques trouvées : tensor([2.7525], device='cuda:0') tensor([2.7280], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  116 attaques trouvées : tensor([2.4457], device='cuda:0') tensor([2.4550], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  117 attaques trouvées : tensor([1.4422], device='cuda:0') tensor([1.4240], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  118 attaques trouvées : tensor([2.8371], device='cuda:0') tensor([2.8330], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  119 attaques trouvées : tensor([3.3545], device='cuda:0') tensor([3.3479], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  120 attaques trouvées : tensor([2.9685], device='cuda:0') tensor([2.9650], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  121 attaques trouvées : tensor([1.7236], device='cuda:0') tensor([1.7200], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  122 attaques trouvées : tensor([5.1789], device='cuda:0') tensor([5.1780], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  123 attaques trouvées : tensor([3.3214], device='cuda:0') tensor([3.3131], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  124 attaques trouvées : tensor([1.2303], device='cuda:0') tensor([1.2259], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  125 attaques trouvées : tensor([4.5006], device='cuda:0') tensor([4.4594], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  126 attaques trouvées : tensor([2.7527], device='cuda:0') tensor([2.7448], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  127 attaques trouvées : tensor([0.5036], device='cuda:0') tensor([0.4657], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  128 attaques trouvées : tensor([4.1814], device='cuda:0') tensor([4.2018], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  129 attaques trouvées : tensor([1.1350], device='cuda:0') tensor([1.1134], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  130 attaques trouvées : tensor([0.9896], device='cuda:0') tensor([0.9842], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  131 attaques trouvées : tensor([1.7924], device='cuda:0') tensor([1.7913], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  132 attaques trouvées : tensor([1.5885], device='cuda:0') tensor([1.5790], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  133 attaques trouvées : tensor([3.2234], device='cuda:0') tensor([3.2246], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  134 attaques trouvées : tensor([2.9880], device='cuda:0') tensor([2.9933], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  135 attaques trouvées : tensor([5.2417], device='cuda:0') tensor([5.2383], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  136 attaques trouvées : tensor([2.3395], device='cuda:0') tensor([2.3426], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  137 attaques trouvées : tensor([0.3180], device='cuda:0') tensor([0.1860], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  138 attaques trouvées : tensor([2.3228], device='cuda:0') tensor([2.3178], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  139 attaques trouvées : tensor([2.4410], device='cuda:0') tensor([2.4430], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  140 attaques trouvées : tensor([2.7290], device='cuda:0') tensor([2.7160], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  141 attaques trouvées : tensor([0.7359], device='cuda:0') tensor([0.6923], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  142 attaques trouvées : tensor([3.2482], device='cuda:0') tensor([3.2442], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  143 attaques trouvées : tensor([2.0892], device='cuda:0') tensor([2.0846], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  144 attaques trouvées : tensor([3.1839], device='cuda:0') tensor([3.1848], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  145 attaques trouvées : tensor([1.1778], device='cuda:0') tensor([1.1636], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  146 attaques trouvées : tensor([2.8621], device='cuda:0') tensor([2.8602], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  147 attaques trouvées : tensor([1.7065], device='cuda:0') tensor([1.6894], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  148 attaques trouvées : tensor([1.2741], device='cuda:0') tensor([1.2712], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  149 attaques trouvées : tensor([3.3331], device='cuda:0') tensor([3.3351], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  150 attaques trouvées : tensor([2.5146], device='cuda:0') tensor([2.5196], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  151 attaques trouvées : tensor([4.1286], device='cuda:0') tensor([4.1430], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  152 attaques trouvées : tensor([2.7656], device='cuda:0') tensor([2.7633], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  153 attaques trouvées : tensor([2.5964], device='cuda:0') tensor([2.6037], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  154 attaques trouvées : tensor([3.5221], device='cuda:0') tensor([3.5156], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  155 attaques trouvées : tensor([2.7836], device='cuda:0') tensor([2.7934], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  156 attaques trouvées : tensor([3.1038], device='cuda:0') tensor([3.0594], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  157 attaques trouvées : tensor([2.7785], device='cuda:0') tensor([2.7687], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  158 attaques trouvées : tensor([3.0006], device='cuda:0') tensor([2.9948], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  159 attaques trouvées : tensor([1.4384], device='cuda:0') tensor([1.4330], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  160 attaques trouvées : tensor([5.2861], device='cuda:0') tensor([5.2893], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  161 attaques trouvées : tensor([3.3411], device='cuda:0') tensor([3.3444], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  162 attaques trouvées : tensor([1.5643], device='cuda:0') tensor([1.5634], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  163 attaques trouvées : tensor([1.5663], device='cuda:0') tensor([1.5630], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  164 attaques trouvées : tensor([2.0541], device='cuda:0') tensor([2.0472], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  165 attaques trouvées : tensor([1.7189], device='cuda:0') tensor([1.7103], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  166 attaques trouvées : tensor([4.8028], device='cuda:0') tensor([4.8072], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  167 attaques trouvées : tensor([2.9069], device='cuda:0') tensor([2.8222], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  168 attaques trouvées : tensor([3.3876], device='cuda:0') tensor([3.3760], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  169 attaques trouvées : tensor([3.5443], device='cuda:0') tensor([3.5318], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  170 attaques trouvées : tensor([2.1321], device='cuda:0') tensor([2.1268], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  171 attaques trouvées : tensor([2.2381], device='cuda:0') tensor([2.2345], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  172 attaques trouvées : tensor([3.4462], device='cuda:0') tensor([3.4482], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  173 attaques trouvées : tensor([2.2922], device='cuda:0') tensor([2.2913], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  174 attaques trouvées : tensor([2.7372], device='cuda:0') tensor([2.7333], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  175 attaques trouvées : tensor([5.1530], device='cuda:0') tensor([5.1589], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  176 attaques trouvées : tensor([1.6411], device='cuda:0') tensor([1.5777], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  177 attaques trouvées : tensor([1.3497], device='cuda:0') tensor([1.2971], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  178 attaques trouvées : tensor([2.5156], device='cuda:0') tensor([2.5128], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  179 attaques trouvées : tensor([2.4179], device='cuda:0') tensor([2.3938], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  180 attaques trouvées : tensor([2.8465], device='cuda:0') tensor([2.8346], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  181 attaques trouvées : tensor([3.9655], device='cuda:0') tensor([3.9604], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  182 attaques trouvées : tensor([3.7612], device='cuda:0') tensor([3.7565], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  183 attaques trouvées : tensor([1.7939], device='cuda:0') tensor([1.7838], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  184 attaques trouvées : tensor([5.2529], device='cuda:0') tensor([5.2497], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  185 attaques trouvées : tensor([2.1943], device='cuda:0') tensor([2.1042], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  186 attaques trouvées : tensor([2.0275], device='cuda:0') tensor([2.0291], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  187 attaques trouvées : tensor([2.4266], device='cuda:0') tensor([2.4223], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  188 attaques trouvées : tensor([4.0353], device='cuda:0') tensor([4.0309], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  189 attaques trouvées : tensor([3.0070], device='cuda:0') tensor([3.0187], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  190 attaques trouvées : tensor([4.3856], device='cuda:0') tensor([4.3803], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  191 attaques trouvées : tensor([1.8034], device='cuda:0') tensor([1.7857], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  192 attaques trouvées : tensor([2.1893], device='cuda:0') tensor([2.1849], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  193 attaques trouvées : tensor([3.5665], device='cuda:0') tensor([3.5405], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  194 attaques trouvées : tensor([1.9173], device='cuda:0') tensor([1.9176], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  195 attaques trouvées : tensor([1.9772], device='cuda:0') tensor([1.9735], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  196 attaques trouvées : tensor([1.8736], device='cuda:0') tensor([1.8711], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  197 attaques trouvées : tensor([2.5154], device='cuda:0') tensor([2.4948], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  198 attaques trouvées : tensor([1.9439], device='cuda:0') tensor([1.9166], device='cuda:0', grad_fn=<SqrtBackward0>)
Point  199 attaques trouvées : tensor([2.1548], device='cuda:0') tensor([2.1587], device='cuda:0', grad_fn=<SqrtBackward0>)
